country,users21
United States,13551846
China,7555311
India,7210455
Brazil,2369096
United Kingdom,2276780
Russian Federation,1981853
Germany,1929413
Japan,1747877
Canada,1636278
Indonesia,1629831
France,1541090
South Korea,1239541
Mexico,979336
Australia,962923
Spain,961980
Turkey,862852
Vietnam,835114
"Hong Kong SAR, China",825046
Ukraine,814494
Netherlands,789156
Poland,755426
Philippines,740409
Italy,721749
Taiwan,626405
Pakistan,549433
Singapore,527746
Colombia,498007
Argentina,491677
Thailand,476188
Sweden,434324
"Egypt, Arab Rep.",426121
Bangladesh,409667
Malaysia,389123
Israel,365865
Nigeria,352538
"Iran, Islamic Rep.",328999
Romania,321220
South Africa,318874
Belgium,308115
Switzerland,305064
Saudi Arabia,293952
Chile,272807
Peru,265308
Portugal,256128
Morocco,246141
Denmark,242138
Czech Republic,223724
Norway,217924
Belarus,214879
Austria,214387
Ireland,206198
Hungary,205763
Finland,200571
New Zealand,195269
Greece,170469
United Arab Emirates,167598
Algeria,156204
Sri Lanka,153184
Kenya,148897
Bulgaria,146702
Tunisia,140788
Serbia,139033
Ecuador,124891
Nepal,123988
Kazakhstan,118318
"Venezuela, RB",115979
Iraq,109510
Costa Rica,84182
Croatia,83231
Lithuania,82995
Slovak Republic,81962
Myanmar,77952
Ghana,76006
Jordan,65204
Uzbekistan,63873
Dominican Republic,63363
Bolivia,60997
Guatemala,60533
Estonia,56996
Uruguay,56723
Latvia,56483
Lebanon,54297
Slovenia,51857
Azerbaijan,50099
Georgia,49889
Cambodia,49635
Armenia,48661
Albania,44382
Moldova,43757
Ethiopia,43056
Bosnia and Herzegovina,42575
El Salvador,41917
Kuwait,37933
"Macedonia, FYR",34951
Uganda,33149
Qatar,31244
Cameroon,31022
Panama,29926
Honduras,29238
Puerto Rico,28997
Tanzania,28303
Kyrgyz Republic,28157
Cote d'Ivoire,26541
Oman,24932
"Yemen, Rep.",24438
Paraguay,24384
Mongolia,24383
Cyprus,24042
Senegal,23512
Luxembourg,22560
Zimbabwe,21694
Iceland,20394
Sudan,19733
Jamaica,19506
Nicaragua,19130
Malta,17524
Bahrain,17405
Madagascar,17112
Mauritius,16291
Libya,16110
Rwanda,15620
Trinidad and Tobago,15496
Benin,14555
Angola,13978
Zambia,12926
Macau S.A.R,12572
Afghanistan,11988
Somalia,11430
"Congo, Dem. Rep.",10469
Mozambique,10246
Lao PDR,10090
RÃ©union,9239
Togo,9002
Montenegro,8204
Botswana,7385
Maledives,7167
Haiti,7060
Brunei Darussalam,6356
Malawi,5968
Burkina Faso,5789
Namibia,5391
Tajikistan,5219
Barbados,4702
"Bahamas, The",4531
Mali,4037
Turkmenistan,3991
Bhutan,3626
Sierra Leone,3417
Guadeloupe,3294
Guyana,3191
Belize,3176
Papua New Guinea,3137
Fiji,2985
Mauritania,2900
Suriname,2778
Liberia,2674
Isle of Man,2631
Guinea,2570
Gabon,2548
Guam,2518
Martinique,2473
Cabo Verde,2366
Jersey,2355
"Gambia, The",2271
Lesotho,2246
French Polynesia,2206
New Caledonia,2179
CuraÃ§ao,2102
Burundi,1943
Niger,1920
"Congo, Rep.",1874
Swaziland,1792
Andorra,1781
Cayman Islands,1641
St. Lucia,1597
Aruba,1592
Bermuda,1560
Eritrea,1409
Seychelles,1314
U.S. Virgin Islands,1229
French Guiana,1194
Djibouti,1184
Faroe Islands,1151
Guernsey,1148
Grenada,1067
Gibraltar,1054
Liechtenstein,1038
Monaco,1025
Antigua and Barbuda,815
Saint Vincent and the Grenadines,738
South Sudan,680
Ãland,660
Chad,639
Greenland,618
Timor-Leste,615
Dominica,556
San Marino,545
St Kitts and Nevis,537
Mayotte,497
Northern Mariana Islands,479
Sint Maarten,465
Equatorial Guinea,447
Turks and Caicos Islands,394
Vanuatu,376
British Virgin Islands,361
Solomon Islands,356
Anguilla,300
Bonaire,269
Comoros,263
Samoa,240
American Samoa,232
Tonga,213
