created_at,total_pushes,total_pull_requests,total_comments,total_issues,follows,gists,watches
2013-04-09,408973,23830,57705,20766,4559,7369,42319
2013-04-10,410920,23632,58251,21782,4485,7395,42831
2013-04-11,406669,23048,56198,25405,4904,7295,37739
2013-04-12,352362,19737,47980,21904,3991,6269,36889
2013-04-13,134495,4471,17339,11113,2846,3649,16913
2013-04-14,166117,5880,21058,10908,2862,3903,16092
2013-04-15,392225,22372,56392,21503,4495,6680,45841
2013-04-16,410715,23610,56710,20763,4681,7231,43486
2013-04-17,416517,23748,57860,21516,5015,7309,40544
2013-04-18,411629,23247,55844,21161,4416,6805,42260
2013-04-19,346694,18776,56219,19687,3777,5554,41574
2013-04-20,139824,4251,16241,9304,2850,3117,18136
2013-04-21,169099,6322,34820,12014,3023,3575,15476
2013-04-22,409547,23608,72347,25234,4310,7378,50282
2013-04-23,425309,24081,58859,21547,4886,7624,43529
2013-04-24,414603,23803,59220,21084,4674,6738,48058
2013-04-25,410643,24150,62877,23491,4543,6330,40552
2013-04-26,348676,20283,50224,18239,3911,5679,36732
2013-04-27,141248,4703,17085,7822,2825,3414,17788
2013-04-28,172461,6027,20716,8845,2953,3306,16543
2013-04-29,399249,22977,57333,21104,3733,5886,44109
2013-04-30,397022,23233,55893,19894,3458,5961,41782
2013-05-01,338862,19279,50005,17297,3497,5466,34198
2013-05-02,387365,22645,54919,19058,3942,5982,39949
2013-05-03,331014,18911,46097,16663,3559,8026,37971
2013-05-04,128873,4158,16745,7939,2780,2906,16791
2013-05-05,156283,5436,19870,9043,3077,3156,15029
2013-05-06,374871,21382,55352,21032,4187,5917,51406
2013-05-07,419301,24715,60026,21488,4321,6719,53246
2013-05-08,408943,24040,58539,20961,4173,6137,48874
2013-05-09,375987,21900,52596,19944,4286,5870,40560
2013-05-10,335082,19169,46569,16632,3305,5317,37753
2013-05-11,128203,4314,17195,7636,2394,2853,15257
2013-05-12,156735,5827,20650,9212,2818,3213,14531
2013-05-13,411151,24058,61629,21726,4133,6388,48978
2013-05-14,425018,25086,60502,21371,4443,6818,47032
2013-05-15,416289,24983,59621,20000,4041,6609,44501
2013-05-16,416193,24756,59125,20157,4513,6261,41008
2013-05-17,350331,20572,47710,17146,3579,5086,35048
2013-05-18,125081,4451,16336,7594,2404,2749,15267
2013-05-19,159262,6074,20183,9034,2860,3284,15263
2013-05-20,373903,21649,55081,19589,3872,6083,43163
2013-05-21,421232,25609,65887,23418,4169,6618,44619
2013-05-22,432107,26401,62923,22898,4422,6340,44205
2013-05-23,422628,25539,60149,20317,4533,7520,44521
2013-05-24,349904,21017,49173,19988,3787,5639,36498
2013-05-25,127011,4163,17342,8404,2541,3164,14989
2013-05-26,155162,5504,25195,10421,3311,3095,15286
2013-05-27,303412,15036,46939,18621,3615,4649,31630
2013-05-28,428585,25965,62454,23337,4646,6476,51394
2013-05-29,439705,26901,62811,21910,4437,6625,44782
2013-05-30,413521,25014,58450,20754,4211,6187,39936
2013-05-31,356143,21470,51113,18157,3618,5345,36598
2013-06-01,133267,4581,17573,7714,2942,2761,16817
2013-06-02,162222,5972,20560,9308,2822,3054,14948
2013-06-03,428489,25528,62742,22324,4190,6608,55943
2013-06-04,508603,26938,63738,22747,4391,6881,50229
2013-06-05,493427,26444,65449,22669,4309,6695,47215
2013-06-06,492789,26991,61173,21067,4113,6595,44178
2013-06-07,413047,21336,50174,18240,3789,5809,39413
2013-06-08,143742,4562,16816,7993,2704,5912,16145
2013-06-09,173416,5905,20469,9132,2507,5230,15235
2013-06-10,454524,23933,60220,24347,3467,6654,46360
2013-06-11,478086,25710,60095,21913,3477,7199,43572
2013-06-12,493335,26410,61742,22483,3982,7334,50667
2013-06-13,491753,26027,59867,22106,4067,7219,46592
2013-06-14,406985,21564,48292,17614,3494,6302,39668
2013-06-15,134833,4125,15550,7207,2412,3389,14417
2013-06-16,173416,5827,19405,8806,2884,3381,13486
2013-06-17,481833,26209,62340,23106,4222,7050,53532
2013-06-18,509898,27638,65319,24958,4314,7871,48225
2013-06-19,504217,27612,64851,22205,3933,7471,52578
2013-06-20,490520,26612,61869,21944,3920,7390,42367
2013-06-21,407710,21142,49403,18014,3587,5852,37130
2013-06-22,133271,4207,16479,7532,2337,6640,16247
2013-06-23,178444,6451,20944,9503,2650,3556,17119
2013-06-24,478274,25953,62656,24759,4149,7252,51681
2013-06-25,518485,28254,70288,23417,4216,7647,51508
2013-06-26,510899,27821,67471,22825,4415,7959,46177
2013-06-27,500348,27015,65646,24001,4515,7337,42647
2013-06-28,418630,21827,50621,18111,3713,6235,40049
2013-06-29,138874,4426,16907,7832,2656,3526,16729
2013-06-30,173404,6106,21075,9572,2723,4140,15417
2013-07-01,465288,25003,61298,22190,3948,7339,53238
2013-07-02,499713,27734,66610,23772,4294,7499,49633
2013-07-03,481519,26125,60795,21892,4009,8330,49037
2013-07-04,346137,16731,40069,16168,3410,6001,34730
2013-07-05,354742,17610,42833,17125,3533,5401,33719
2013-07-06,136465,3955,15978,7365,2471,3048,16509
2013-07-07,180406,6208,20973,10320,2713,3570,16384
2013-07-08,493064,26822,65799,23994,4180,7326,54871
2013-07-09,523865,27877,65838,22806,4589,7589,53169
2013-07-10,530869,28191,65966,23184,4856,7932,55377
2013-07-11,516657,27537,65502,22118,4593,7972,54528
2013-07-12,426760,22638,52349,18829,4182,6042,42628
2013-07-13,143186,4227,15814,7493,3082,3038,17637
2013-07-14,181405,5687,20850,10299,3222,3785,16333
2013-07-15,508580,26841,66433,24270,4779,7162,54629
2013-07-16,523618,28702,68074,23930,6318,10464,55903
2013-07-17,524562,28919,68178,24796,5036,7738,51688
2013-07-18,516960,28222,66339,22364,5335,8817,51355
2013-07-19,434325,23246,52983,18721,4523,5772,43121
2013-07-20,146585,4400,16137,7425,2808,3128,17137
2013-07-21,182450,6253,20590,10165,3189,3435,16031
2013-07-22,513198,28051,66474,23058,5141,7336,54822
2013-07-23,532899,29735,68168,23922,5662,7086,53431
2013-07-24,525776,28976,67243,22982,5673,7491,49957
2013-07-25,517999,28884,65783,22677,5369,7815,49910
2013-07-26,429610,23533,53942,18649,4752,5962,43105
2013-07-27,144150,4621,16437,7969,2939,3185,17308
2013-07-28,185646,6747,22515,10320,3204,4220,15590
